pref,population,area
愛知県,7497521,5173.23
愛媛県,1306165,5675.98
茨城県,2841084,6097.54
岡山県,1862012,7114.77
沖縄県,1468634,2282.15
岩手県,1180512,15275.01
岐阜県,1945350,10621.29
宮崎県,1051771,7734.24
宮城県,2279554,7282.29
熊本県,1717766,7409.12
群馬県,1913236,6362.28
広島県,2759702,8479.23
香川県,933758,1876.91
高知県,675710,7102.91
佐賀県,800511,2440.67
埼玉県,7337173,3797.75
三重県,1742703,5774.48
山形県,1040971,9323.15
山口県,1312950,6112.5
山梨県,801620,4465.27
滋賀県,1409388,4017.38
鹿児島県,1562310,9186.33
秋田県,929937,11637.52
新潟県,2152664,12583.96
青森県,1204372,9645.95
静岡県,3582194,7777.02
石川県,1117827,4186.23
千葉県,6275278,5156.74
大阪府,8787414,1905.34
大分県,1106294,6340.7
長崎県,1282571,4130.99
長野県,2020497,13561.56
鳥取県,543615,3507.13
島根県,657842,6707.86
東京都,14040732,2194.05
徳島県,703745,4146.99
栃木県,1908380,6408.09
奈良県,1305981,3690.94
富山県,1016323,4247.54
兵庫県,5403823,8400.94
北海道,5139522,78420.82
和歌山県,903172,4724.68
神奈川県,9232794,2416.32
福井県,752976,4190.58
福岡県,5117967,4987.64
福島県,1789221,13784.14
京都府,2550404,4612.2
