Height,Weight,Age
185,82,38
187,84,32
190,84,20
182,73,22
186,77,26
176,69,27
186,75,24
170,68,35
187,84,22
185,78,31
181,76,24
189,87,33
178,76,28
175,64,29
177,68,30
180,72,25
174,68,26
177,74,26
176,66,28
167,64,24
177,69,23
173,71,26
170,63,26
182,71,31
180,75,25
187,86,22
190,84,20
189,91,19
185,78,31
181,76,24
186,75,24
189,87,33
171,70,23
187,84,22
182,73,22
190,80,24
183,72,21
178,76,28
173,67,20
167,64,24
172,70,23
178,71,24
166,69,24
177,69,23
173,67,23
182,76,23
178,74,24
168,60,29
170,67,26
168,65,21
164,57,25
164,53,24
160,47,25
165,53,26
160,52,23
172,62,22
169,67,21
169,55,24
158,50,31
158,55,27
160,53,22
158,52,25
154,44,26
162,52,24
160,48,21
169,62,31
164,56,27
160,51,24
166,58,25
162,53,22
